id,leaf_length_cm,leaf_width_cm,color_score,species,tree_type
58,11.665,5.796,0.83,Oak,Deciduous
59,7.922,2.76,0.503,Birch,Deciduous
60,4.85,2.105,0.411,Spruce,Coniferous
61,5.589,2.76,0.38,Cedar,Coniferous
62,11.356,5.095,0.65,Ash,Deciduous
63,10.624,6.381,0.702,Ash,Deciduous
64,6.4,2.99,0.639,Cherry,Deciduous
65,12.295,6.435,0.718,Oak,Deciduous
66,5.577,3.293,0.36,Spruce,Coniferous
67,8.497,4.452,0.6,Willow,Deciduous
68,5.377,1.895,0.324,Cedar,Coniferous
69,6.168,2.217,0.69,Cherry,Deciduous
70,10.408,4.796,0.647,Poplar,Deciduous
71,7.593,1.899,0.518,Birch,Deciduous
72,9.877,6.506,0.732,Oak,Deciduous
73,13.299,5.853,0.717,Oak,Deciduous
74,13.238,5.135,0.866,Oak,Deciduous
75,6.542,3.178,0.407,Pine,Coniferous
76,6.096,2.157,0.358,Cedar,Coniferous
77,8.43,4.256,0.655,Maple,Deciduous
78,6.612,2.039,0.368,Spruce,Coniferous
79,5.888,1.732,0.448,Spruce,Coniferous
80,6.079,3.298,0.638,Cherry,Deciduous
81,10.915,3.964,0.63,Willow,Deciduous
82,12.329,4.109,0.598,Willow,Deciduous
83,8.473,4.783,0.626,Ash,Deciduous
84,6.902,2.439,0.585,Birch,Deciduous
85,9.716,3.379,0.726,Willow,Deciduous
86,5.911,2.061,0.408,Pine,Coniferous
87,10.394,3.887,0.592,Maple,Deciduous
88,8.516,4.099,0.561,Maple,Deciduous
89,10.743,3.827,0.575,Poplar,Deciduous
90,7.723,2.235,0.715,Cherry,Deciduous
91,8.85,4.835,0.659,Ash,Deciduous
92,10.865,5.459,0.812,Oak,Deciduous
93,12.512,6.047,0.689,Oak,Deciduous
94,7.353,2.223,0.447,Pine,Coniferous
95,9.503,3.624,0.598,Maple,Deciduous
96,8.953,5.319,0.648,Poplar,Deciduous
97,6.666,3.563,0.372,Spruce,Coniferous
98,8.316,4.049,0.656,Willow,Deciduous
99,11.135,5.361,0.788,Oak,Deciduous
100,9.805,6.617,0.731,Oak,Deciduous
101,7.786,3.283,0.592,Birch,Deciduous
102,8.791,3.041,0.461,Birch,Deciduous
103,5.607,2.433,0.396,Cedar,Coniferous
104,10.145,3.965,0.707,Ash,Deciduous
105,10.567,6.567,0.717,Oak,Deciduous
106,11.621,6.149,0.798,Oak,Deciduous
107,11.678,4.331,0.637,Maple,Deciduous
108,6.428,2.503,0.388,Pine,Coniferous
109,8.348,4.707,0.636,Poplar,Deciduous
110,5.017,2.585,0.412,Pine,Coniferous
111,6.455,2.209,0.419,Pine,Coniferous
112,7.08,2.486,0.379,Pine,Coniferous
113,9.538,4.029,0.772,Ash,Deciduous
114,9.887,3.64,0.628,Maple,Deciduous
115,5.568,2.043,0.44,Cedar,Coniferous
116,5.09,3.208,0.668,Cherry,Deciduous
117,4.883,1.13,0.434,Cedar,Coniferous
118,5.502,1.895,0.442,Cedar,Coniferous
119,13.9,7.332,0.691,Oak,Deciduous
120,6.402,1.948,0.431,Cedar,Coniferous
121,4.962,2.692,0.361,Pine,Coniferous
122,5.697,2.182,0.317,Pine,Coniferous
123,9.799,4.397,0.645,Poplar,Deciduous
124,13.138,4.999,0.695,Oak,Deciduous
125,5.353,1.748,0.35,Cedar,Coniferous
126,9.943,4.745,0.642,Poplar,Deciduous
127,5.195,2.041,0.405,Cedar,Coniferous
128,9.433,2.991,0.599,Poplar,Deciduous
129,6.695,2.835,0.301,Spruce,Coniferous
130,12.2,2.555,0.72,Willow,Deciduous
131,11.32,4.99,0.69,Ash,Deciduous
132,12.393,3.97,0.566,Willow,Deciduous
133,4.811,2.198,0.368,Cedar,Coniferous
134,7.758,2.112,0.428,Pine,Coniferous
135,5.476,1.139,0.661,Cherry,Deciduous
136,8.035,3.886,0.7,Ash,Deciduous
137,8.992,5.794,0.701,Ash,Deciduous
138,4.617,2.838,0.634,Cherry,Deciduous
139,9.746,3.586,0.553,Maple,Deciduous
140,12.578,7.402,0.734,Oak,Deciduous
141,6.137,2.599,0.685,Cherry,Deciduous
142,8.078,2.31,0.736,Cherry,Deciduous
143,10.418,3.873,0.582,Poplar,Deciduous
144,5.869,3.114,0.624,Cherry,Deciduous
145,9.258,5.55,0.69,Ash,Deciduous
146,12.817,2.539,0.662,Willow,Deciduous
147,9.54,4.313,0.652,Willow,Deciduous
148,8.041,2.882,0.691,Cherry,Deciduous
149,5.616,1.542,0.359,Spruce,Coniferous
150,4.587,2.725,0.39,Spruce,Coniferous
151,7.842,1.887,0.337,Pine,Coniferous
152,5.185,3.125,0.637,Cherry,Deciduous
153,11.413,4.093,0.593,Poplar,Deciduous
154,9.62,3.155,0.617,Poplar,Deciduous
155,5.41,2.896,0.561,Birch,Deciduous
156,11.183,5.526,0.739,Oak,Deciduous
157,5.595,3.288,0.373,Spruce,Coniferous
158,6.019,2.704,0.367,Spruce,Coniferous
159,6.682,3.129,0.755,Cherry,Deciduous
160,10.538,5.792,0.832,Oak,Deciduous
161,5.56,2.053,0.379,Cedar,Coniferous
162,9.976,2.851,0.601,Willow,Deciduous
163,9.092,3.345,0.554,Maple,Deciduous
164,6.944,2.133,0.458,Pine,Coniferous
165,14.845,6.557,0.771,Oak,Deciduous
166,6.684,3.886,0.579,Cherry,Deciduous
167,5.472,2.149,0.455,Pine,Coniferous
168,7.848,2.382,0.611,Birch,Deciduous
169,9.694,3.548,0.683,Willow,Deciduous
170,6.799,2.015,0.427,Cedar,Coniferous
171,11.043,3.115,0.582,Willow,Deciduous
172,8.458,2.221,0.593,Birch,Deciduous
173,6.87,2.596,0.3,Spruce,Coniferous
174,10.61,2.224,0.611,Willow,Deciduous
175,14.531,6.102,0.762,Oak,Deciduous
176,12.153,3.05,0.692,Willow,Deciduous
177,10.458,4.942,0.76,Ash,Deciduous
178,7.274,2.465,0.651,Cherry,Deciduous
179,10.961,5.802,0.747,Oak,Deciduous
180,7.536,2.777,0.498,Birch,Deciduous
181,8.802,2.765,0.722,Poplar,Deciduous
182,6.602,2.115,0.325,Spruce,Coniferous
183,6.978,2.69,0.474,Birch,Deciduous
184,11.948,5.645,0.733,Oak,Deciduous
185,5.589,2.676,0.354,Spruce,Coniferous
186,6.089,2.983,0.758,Cherry,Deciduous
187,6.811,2.137,0.755,Cherry,Deciduous
188,7.622,3.285,0.649,Cherry,Deciduous
189,7.63,3.884,0.609,Maple,Deciduous
190,7.807,2.741,0.489,Birch,Deciduous
191,8.858,3.513,0.629,Maple,Deciduous
192,8.178,2.37,0.683,Cherry,Deciduous
193,6.164,2.481,0.693,Cherry,Deciduous
194,11.332,4.315,0.667,Poplar,Deciduous
195,6.281,1.662,0.397,Cedar,Coniferous
196,5.949,2.487,0.373,Pine,Coniferous
197,10.074,4.4,0.504,Maple,Deciduous
198,5.624,1.698,0.345,Spruce,Coniferous
199,6.575,2.117,0.652,Cherry,Deciduous
200,9.937,5.138,0.649,Ash,Deciduous
201,5.376,2.926,0.731,Cherry,Deciduous
202,7.887,4.553,0.596,Maple,Deciduous
203,5.454,2.349,0.415,Spruce,Coniferous
204,11.369,5.383,0.597,Ash,Deciduous
205,12.563,2.734,0.624,Willow,Deciduous
206,5.551,1.71,0.402,Cedar,Coniferous
207,5.523,2.529,0.362,Cedar,Coniferous
208,10.79,3.863,0.679,Willow,Deciduous
209,10.061,6.068,0.671,Ash,Deciduous
210,9.008,3.447,0.579,Maple,Deciduous
211,10.523,4.38,0.73,Willow,Deciduous
212,8.171,2.508,0.418,Pine,Coniferous
213,5.314,3.283,0.725,Cherry,Deciduous
214,5.378,2.614,0.353,Spruce,Coniferous
215,9.863,4.696,0.66,Ash,Deciduous
216,5.19,1.76,0.409,Cedar,Coniferous
217,8.315,4.534,0.642,Poplar,Deciduous
218,9.355,4.671,0.716,Oak,Deciduous
219,5.045,2.752,0.742,Cherry,Deciduous
220,5.916,3.055,0.389,Pine,Coniferous
221,7.278,3.253,0.573,Birch,Deciduous
222,10.017,5.26,0.674,Maple,Deciduous
223,9.551,4.612,0.539,Poplar,Deciduous
224,9.689,2.855,0.714,Willow,Deciduous
225,7.911,2.847,0.533,Birch,Deciduous
226,10.103,3.274,0.659,Willow,Deciduous
227,7.135,2.781,0.329,Spruce,Coniferous
228,6.347,2.587,0.398,Spruce,Coniferous
229,13.22,6.843,0.77,Oak,Deciduous
230,6.673,2.397,0.505,Cedar,Coniferous
231,10.236,3.257,0.567,Maple,Deciduous
232,7.139,2.896,0.679,Cherry,Deciduous
233,6.695,2.905,0.377,Pine,Coniferous
234,11.723,3.887,0.632,Poplar,Deciduous
235,11.288,5.568,0.688,Oak,Deciduous
236,12.999,3.907,0.617,Willow,Deciduous
237,11.856,4.265,0.579,Willow,Deciduous
238,8.56,3.035,0.585,Maple,Deciduous
239,7.092,2.482,0.346,Spruce,Coniferous
240,9.185,5.368,0.596,Poplar,Deciduous
241,8.938,4.409,0.545,Maple,Deciduous
242,8.907,2.463,0.671,Maple,Deciduous
243,9.983,4.726,0.718,Ash,Deciduous
244,11.134,5.373,0.797,Ash,Deciduous
245,6.405,2.44,0.398,Pine,Coniferous
246,8.222,4.294,0.655,Birch,Deciduous
247,5.742,1.998,0.352,Cedar,Coniferous
248,6.114,2.88,0.401,Pine,Coniferous
249,6.892,2.888,0.521,Birch,Deciduous
250,10.007,4.567,0.608,Poplar,Deciduous
251,8.737,3.964,0.606,Poplar,Deciduous
252,8.873,5.557,0.699,Ash,Deciduous
253,7.709,2.304,0.571,Birch,Deciduous
254,7.439,3.707,0.519,Birch,Deciduous
255,5.815,2.387,0.364,Cedar,Coniferous
256,8.7,3.087,0.556,Maple,Deciduous
257,5.326,3.069,0.689,Cherry,Deciduous
258,5.77,2.254,0.418,Cedar,Coniferous
259,8.899,6.956,0.679,Oak,Deciduous
260,9.147,3.902,0.563,Maple,Deciduous
261,7.844,3.007,0.633,Birch,Deciduous
262,5.289,2.919,0.374,Cedar,Coniferous
263,5.851,2.043,0.375,Cedar,Coniferous
264,9.845,4.84,0.713,Ash,Deciduous
265,5.002,2.749,0.609,Birch,Deciduous
266,9.165,3.008,0.463,Birch,Deciduous
267,6.734,2.979,0.369,Spruce,Coniferous
268,5.421,2.499,0.305,Spruce,Coniferous
269,4.883,2.862,0.387,Spruce,Coniferous
270,12.619,5.957,0.766,Oak,Deciduous
271,9.202,4.148,0.642,Maple,Deciduous
272,6.268,2.898,0.397,Pine,Coniferous
273,9.439,3.742,0.717,Poplar,Deciduous
274,11.099,6.216,0.738,Oak,Deciduous
275,8.169,3.349,0.58,Birch,Deciduous
276,11.354,3.035,0.715,Willow,Deciduous
277,5.282,1.904,0.523,Birch,Deciduous
278,2.48,2.527,0.351,Spruce,Coniferous
279,5.707,3.393,0.693,Cherry,Deciduous
280,5.505,2.144,0.39,Pine,Coniferous
281,7.911,3.678,0.732,Poplar,Deciduous
282,11.006,2.864,0.626,Poplar,Deciduous
283,8.856,3.738,0.575,Maple,Deciduous
284,6.682,2.713,0.403,Pine,Coniferous
285,6.604,3.1,0.518,Birch,Deciduous
286,5.662,2.383,0.567,Cherry,Deciduous
287,6.167,2.635,0.436,Pine,Coniferous
288,10.884,3.504,0.709,Willow,Deciduous
289,6.813,3.216,0.513,Birch,Deciduous
290,8.823,3.985,0.585,Maple,Deciduous
291,8.268,4.674,0.686,Maple,Deciduous
292,12.275,3.215,0.614,Willow,Deciduous
293,5.649,2.407,0.364,Cedar,Coniferous
294,5.203,3.079,0.374,Cedar,Coniferous
295,10.707,4.499,0.691,Willow,Deciduous
296,9.508,4.104,0.53,Maple,Deciduous
297,5.087,2.556,0.357,Cedar,Coniferous
298,4.532,1.932,0.394,Cedar,Coniferous
299,10.433,5.154,0.685,Ash,Deciduous
300,5.454,2.247,0.395,Pine,Coniferous
301,12.783,4.646,0.794,Oak,Deciduous
302,10.378,4.855,0.835,Oak,Deciduous
303,8.784,3.469,0.64,Willow,Deciduous
304,4.753,2.351,0.408,Pine,Coniferous
305,6.983,2.011,0.339,Spruce,Coniferous
306,10.089,3.95,0.645,Poplar,Deciduous
307,10.178,3.497,0.664,Poplar,Deciduous
308,6.099,2.289,0.356,Spruce,Coniferous
309,12.916,6.865,0.705,Oak,Deciduous
310,5.551,2.511,0.563,Birch,Deciduous
311,10.962,2.268,0.582,Willow,Deciduous
312,6.933,2.585,0.622,Cherry,Deciduous
313,5.02,2.873,0.398,Cedar,Coniferous
314,8.982,3.775,0.616,Poplar,Deciduous
315,7.4,2.931,0.55,Birch,Deciduous
316,4.511,2.276,0.386,Pine,Coniferous
317,7.45,3.327,0.498,Birch,Deciduous
318,6.714,2.829,0.397,Spruce,Coniferous
319,9.127,4.695,0.632,Poplar,Deciduous
320,6.572,2.589,0.701,Cherry,Deciduous
321,9.524,4.053,0.637,Poplar,Deciduous
322,5.163,3.427,0.665,Cherry,Deciduous
323,5.978,2.313,0.418,Cedar,Coniferous
324,11.867,4.126,0.71,Willow,Deciduous
325,11.596,5.924,0.683,Oak,Deciduous
326,12.765,4.289,0.571,Maple,Deciduous
327,5.159,1.729,0.359,Cedar,Coniferous
328,10.119,4.48,0.641,Maple,Deciduous
329,8.937,4.859,0.655,Ash,Deciduous
330,9.758,5.215,0.738,Ash,Deciduous
331,6.973,2.695,0.59,Cherry,Deciduous
332,10.225,6.2,0.732,Oak,Deciduous
333,9.54,5.598,0.696,Ash,Deciduous
334,6.698,2.104,0.369,Pine,Coniferous
335,9.706,4.356,0.636,Maple,Deciduous
336,9.936,3.752,0.623,Maple,Deciduous
337,7.251,5.043,0.558,Maple,Deciduous
338,7.086,3.583,0.622,Maple,Deciduous
339,6.717,2.627,0.755,Cherry,Deciduous
340,6.804,2.503,0.356,Pine,Coniferous
341,10.178,5.835,0.756,Ash,Deciduous
342,11.353,5.117,0.714,Ash,Deciduous
343,6.789,3.001,0.434,Pine,Coniferous
344,4.444,2.183,0.364,Cedar,Coniferous
345,5.511,2.426,0.744,Cherry,Deciduous
346,6.683,2.816,0.664,Cherry,Deciduous
347,9.89,3.37,0.67,Poplar,Deciduous
348,9.243,3.349,0.67,Willow,Deciduous
349,5.167,2.553,0.42,Cedar,Coniferous
350,6.265,1.519,0.343,Cedar,Coniferous
351,9.488,4.446,0.631,Willow,Deciduous
352,5.789,2.796,0.682,Cherry,Deciduous
353,5.186,2.169,0.41,Pine,Coniferous
354,13.916,5.944,0.805,Oak,Deciduous
355,10.125,4.911,0.644,Poplar,Deciduous
356,11.34,5.261,0.746,Oak,Deciduous
357,10.917,3.261,0.678,Willow,Deciduous
358,12.336,5.49,0.827,Oak,Deciduous
359,5.549,2.603,0.385,Pine,Coniferous
360,8.136,2.801,0.57,Birch,Deciduous
361,9.445,6.859,0.809,Oak,Deciduous
362,14.829,6.664,0.748,Oak,Deciduous
363,7.305,3.074,0.629,Cherry,Deciduous
364,5.482,1.982,0.363,Cedar,Coniferous
365,9.696,3.63,0.541,Maple,Deciduous
366,11.599,3.519,0.722,Willow,Deciduous
367,11.827,5.389,0.795,Oak,Deciduous
368,13.005,6.302,0.737,Oak,Deciduous
369,8.271,3.86,0.573,Maple,Deciduous
370,9.618,6.482,0.72,Ash,Deciduous
371,6.769,2.26,0.614,Cherry,Deciduous
372,5.547,2.95,0.74,Cherry,Deciduous
373,7.887,3.444,0.654,Birch,Deciduous
374,5.814,2.334,0.329,Cedar,Coniferous
375,5.451,2.303,0.45,Cedar,Coniferous
376,11.107,5.217,0.722,Ash,Deciduous
377,10.398,3.612,0.796,Willow,Deciduous
378,14.162,5.219,0.71,Oak,Deciduous
379,6.497,2.13,0.39,Pine,Coniferous
380,9.221,3.507,0.656,Ash,Deciduous
381,6.825,2.57,0.671,Cherry,Deciduous
382,9.698,6.125,0.769,Ash,Deciduous
383,5.489,2.654,0.339,Spruce,Coniferous
384,5.016,2.629,0.427,Cedar,Coniferous
385,5.087,2.083,0.408,Pine,Coniferous
386,6.106,1.95,0.558,Birch,Deciduous
387,9.761,4.012,0.576,Poplar,Deciduous
388,10.654,6.157,0.745,Oak,Deciduous
389,5.036,3.081,0.338,Pine,Coniferous
390,6.018,2.562,0.345,Spruce,Coniferous
391,8.19,3.078,0.615,Birch,Deciduous
392,7.571,4.408,0.631,Poplar,Deciduous
393,11.043,3.543,0.636,Willow,Deciduous
394,11.247,5.194,0.819,Oak,Deciduous
395,8.75,2.708,0.573,Maple,Deciduous
396,5.475,2.226,0.408,Spruce,Coniferous
397,6.43,3.305,0.608,Birch,Deciduous
398,6.934,2.09,0.539,Birch,Deciduous
399,5.787,2.765,0.764,Cherry,Deciduous
400,10.433,3.156,0.639,Willow,Deciduous
401,4.637,2.004,0.401,Pine,Coniferous
402,12.162,5.49,0.796,Ash,Deciduous
403,8.789,3.595,0.588,Maple,Deciduous
404,6.528,3.074,0.318,Spruce,Coniferous
405,5.411,1.327,0.598,Cherry,Deciduous
406,5.862,1.791,0.411,Cedar,Coniferous
407,6.105,2.672,0.545,Birch,Deciduous
408,9.138,4.251,0.735,Maple,Deciduous
409,12.07,7.477,0.703,Oak,Deciduous
410,8.139,1.948,0.38,Spruce,Coniferous
411,4.423,2.669,0.435,Pine,Coniferous
412,11.948,3.321,0.642,Willow,Deciduous
413,5.102,2.338,0.36,Spruce,Coniferous
414,5.782,2.102,0.415,Pine,Coniferous
415,10.553,6.516,0.773,Oak,Deciduous
416,7.871,5.354,0.752,Ash,Deciduous
417,15.286,5.004,0.74,Oak,Deciduous
418,7.768,3.499,0.698,Poplar,Deciduous
419,10.569,3.569,0.643,Willow,Deciduous
420,5.656,2.689,0.351,Spruce,Coniferous
421,7.527,2.547,0.343,Spruce,Coniferous
422,5.645,3.127,0.34,Spruce,Coniferous
423,5.107,2.165,0.377,Cedar,Coniferous
424,5.111,2.849,0.327,Pine,Coniferous
425,5.686,2.191,0.325,Cedar,Coniferous
426,10.94,3.029,0.666,Poplar,Deciduous
427,8.028,3.67,0.597,Maple,Deciduous
428,4.402,1.737,0.411,Pine,Coniferous
429,8.448,3.726,0.666,Poplar,Deciduous
430,7.771,3.215,0.703,Maple,Deciduous
431,9.587,4.89,0.677,Maple,Deciduous
432,10.242,5.55,0.669,Ash,Deciduous
433,8.007,2.597,0.52,Birch,Deciduous
434,5.95,2.22,0.342,Spruce,Coniferous
435,6.17,2.074,0.362,Cedar,Coniferous
436,5.086,2.281,0.373,Spruce,Coniferous
437,5.18,2.348,0.359,Cedar,Coniferous
438,6.488,2.418,0.695,Cherry,Deciduous
439,10.131,5.378,0.863,Oak,Deciduous
440,6.534,2.762,0.366,Spruce,Coniferous
441,7.853,2.997,0.71,Cherry,Deciduous
442,12.444,4.817,0.789,Oak,Deciduous
443,7.152,2.731,0.359,Spruce,Coniferous
444,8.127,3.008,0.551,Birch,Deciduous
445,8.084,3.01,0.5,Birch,Deciduous
446,7.494,2.942,0.486,Birch,Deciduous
447,5.591,1.818,0.328,Cedar,Coniferous
448,11.304,3.382,0.697,Poplar,Deciduous
449,12.28,5.954,0.729,Oak,Deciduous
450,11.888,5.618,0.686,Oak,Deciduous
451,5.802,2.594,0.342,Spruce,Coniferous
452,11.695,3.501,0.745,Willow,Deciduous
453,13.324,3.86,0.647,Ash,Deciduous
454,6.07,1.942,0.441,Pine,Coniferous
455,8.25,3.36,0.623,Poplar,Deciduous
456,4.063,2.632,0.304,Pine,Coniferous
457,6.158,2.092,0.329,Cedar,Coniferous
458,6.055,2.393,0.287,Spruce,Coniferous
459,7.781,2.291,0.729,Cherry,Deciduous
460,8.808,4.841,0.617,Maple,Deciduous
461,6.206,3.423,0.494,Pine,Coniferous
462,8.507,4.67,0.591,Maple,Deciduous
463,5.447,1.934,0.369,Pine,Coniferous
464,11.697,3.586,0.629,Willow,Deciduous
465,6.509,3.137,0.306,Spruce,Coniferous
466,6.728,1.966,0.648,Cherry,Deciduous
467,6.127,2.162,0.345,Spruce,Coniferous
468,6.648,4.322,0.729,Poplar,Deciduous
469,10.484,4.078,0.698,Poplar,Deciduous
470,8.605,4.871,0.521,Poplar,Deciduous
471,13.259,3.884,0.683,Willow,Deciduous
472,6.982,1.467,0.437,Spruce,Coniferous
473,11.127,4.0,0.506,Maple,Deciduous
474,5.194,0.941,0.356,Spruce,Coniferous
475,6.378,1.722,0.362,Spruce,Coniferous
476,4.798,1.8,0.35,Spruce,Coniferous
477,5.402,2.336,0.377,Spruce,Coniferous
478,6.463,3.515,0.511,Birch,Deciduous
479,9.492,4.0,0.618,Maple,Deciduous
480,12.951,6.12,0.818,Oak,Deciduous
481,8.365,5.154,0.713,Ash,Deciduous
482,6.837,2.479,0.649,Cherry,Deciduous
483,7.083,3.644,0.634,Birch,Deciduous
484,8.496,2.834,0.729,Willow,Deciduous
485,8.125,2.759,0.72,Cherry,Deciduous
486,7.514,4.753,0.53,Poplar,Deciduous
487,13.463,5.096,0.857,Oak,Deciduous
488,11.511,3.569,0.661,Willow,Deciduous
489,12.096,4.334,0.755,Oak,Deciduous
490,10.581,4.299,0.538,Maple,Deciduous
491,12.037,5.49,0.757,Oak,Deciduous
492,6.376,2.18,0.367,Pine,Coniferous
493,11.35,4.135,0.58,Maple,Deciduous
494,4.346,1.793,0.383,Spruce,Coniferous
495,8.036,4.234,0.633,Maple,Deciduous
496,5.161,3.225,0.661,Cherry,Deciduous
497,8.553,3.705,0.579,Maple,Deciduous
498,11.211,5.69,0.797,Oak,Deciduous
499,6.46,3.171,0.552,Birch,Deciduous
500,8.041,2.772,0.665,Cherry,Deciduous
501,7.352,3.131,0.778,Cherry,Deciduous
502,5.392,2.82,0.71,Cherry,Deciduous
503,12.52,5.658,0.768,Oak,Deciduous
504,8.891,5.169,0.689,Ash,Deciduous
505,7.246,3.057,0.484,Pine,Coniferous
506,10.206,5.362,0.756,Oak,Deciduous
507,5.533,2.026,0.46,Pine,Coniferous
508,8.358,3.852,0.698,Maple,Deciduous
509,8.343,2.264,0.557,Birch,Deciduous
510,5.401,2.721,0.355,Cedar,Coniferous
511,6.427,3.14,0.721,Cherry,Deciduous
512,5.634,2.927,0.38,Spruce,Coniferous
513,4.098,1.423,0.386,Cedar,Coniferous
514,5.89,3.321,0.389,Pine,Coniferous
515,11.551,5.663,0.727,Oak,Deciduous
516,5.883,2.93,0.421,Pine,Coniferous
517,4.264,2.423,0.379,Cedar,Coniferous
518,11.96,6.267,0.725,Oak,Deciduous
519,14.285,5.638,0.814,Oak,Deciduous
520,10.384,3.899,0.669,Ash,Deciduous
521,12.347,4.914,0.717,Ash,Deciduous
522,5.613,2.894,0.785,Cherry,Deciduous
523,6.684,2.593,0.432,Pine,Coniferous
524,6.766,2.519,0.321,Spruce,Coniferous
525,4.891,1.848,0.386,Cedar,Coniferous
526,12.619,5.586,0.741,Oak,Deciduous
527,10.782,4.803,0.688,Ash,Deciduous
528,11.521,3.952,0.527,Willow,Deciduous
529,7.462,2.921,0.743,Cherry,Deciduous
530,8.48,3.519,0.626,Poplar,Deciduous
531,7.275,2.328,0.377,Spruce,Coniferous
532,5.759,1.96,0.32,Pine,Coniferous
533,7.156,2.897,0.703,Cherry,Deciduous
534,11.113,4.671,0.78,Oak,Deciduous
535,4.416,2.505,0.596,Cherry,Deciduous
536,7.597,2.798,0.739,Cherry,Deciduous
537,6.76,4.381,0.584,Maple,Deciduous
538,6.234,2.636,0.681,Cherry,Deciduous
539,5.879,1.914,0.378,Spruce,Coniferous
540,9.451,2.511,0.642,Poplar,Deciduous
541,5.853,1.874,0.348,Cedar,Coniferous
542,5.279,2.864,0.293,Spruce,Coniferous
543,6.92,3.689,0.514,Birch,Deciduous
544,8.091,3.73,0.579,Poplar,Deciduous
545,8.724,4.961,0.678,Ash,Deciduous
546,12.487,4.247,0.655,Willow,Deciduous
547,6.794,2.957,0.663,Cherry,Deciduous
548,7.97,5.075,0.754,Ash,Deciduous
549,6.314,3.462,0.797,Cherry,Deciduous
550,9.08,4.742,0.673,Maple,Deciduous
551,12.635,3.319,0.726,Willow,Deciduous
552,5.044,2.619,0.409,Cedar,Coniferous
553,8.836,4.716,0.701,Ash,Deciduous
554,9.884,4.556,0.731,Maple,Deciduous
555,6.379,1.974,0.437,Cedar,Coniferous
556,7.071,2.29,0.387,Pine,Coniferous
557,10.509,4.522,0.688,Poplar,Deciduous
558,8.521,4.315,0.63,Poplar,Deciduous
559,9.874,4.686,0.527,Poplar,Deciduous
560,10.296,4.391,0.608,Willow,Deciduous
561,9.072,5.909,0.736,Ash,Deciduous
562,14.599,3.373,0.621,Willow,Deciduous
563,10.998,4.283,0.738,Willow,Deciduous
564,7.41,1.879,0.368,Cedar,Coniferous
565,4.961,2.798,0.454,Pine,Coniferous
566,9.668,3.852,0.615,Poplar,Deciduous
567,6.933,3.418,0.676,Cherry,Deciduous
568,6.236,2.574,0.537,Birch,Deciduous
569,3.304,2.07,0.411,Spruce,Coniferous
570,6.596,3.03,0.702,Cherry,Deciduous
